Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
CNBC/Change Research (D)CNBC,9/18 - 9/20,579 LV,--,49,45,Biden +4
Trafalgar Group (R)*Trafalgar (R)*,9/15 - 9/17,1006 LV,3.0,47,45,Biden +2
Univ. of Wis/YouGovUW/YouGov,9/10 - 9/21,642 LV,--,49,45,Biden +4
Franklin & MarshallF&M,9/14 - 9/20,480 LV,7.8,48,42,Biden +6
Reuters/IpsosReuters,9/11 - 9/16,611 LV,4.5,49,46,Biden +3
CNBC/Change Research (D)CNBC,9/4 - 9/6,LV,--,50,46,Biden +4
NBC News/MaristNBC/Marist,8/31 - 9/7,771 LV,4.4,53,44,Biden +9
SusquehannaSusquehanna,8/26 - 9/4,498 LV,4.3,44,42,Biden +2
Monmouth*Monmouth*,8/28 - 8/31,400 RV,4.9,49,46,Biden +3
QuinnipiacQuinnipiac,8/28 - 8/31,1107 LV,3.0,52,44,Biden +8
Rasmussen ReportsRasmussen,8/25 - 8/27,1000 LV,3.0,46,46,Tie
CNBC/Change Research (D)CNBC,8/21 - 8/23,984 LV,2.0,49,46,Biden +3
Franklin & MarshallF&M,8/17 - 8/23,681 RV,5.2,49,42,Biden +7
Morning CallMorning Call,8/11 - 8/17,416 LV,5.5,49,45,Biden +4
EmersonEmerson,8/8 - 8/10,843 LV,3.4,52,43,Biden +9
CNBC/Change Research (D)CNBC,8/7 - 8/9,456 LV,--,48,44,Biden +4
CBS News/YouGovCBS News,8/4 - 8/7,1211 LV,3.7,49,43,Biden +6
Univ. of Wis/YouGovUW/YouGov,7/26 - 8/6,742 RV,4.9,50,41,Biden +9
CNBC/Change Research (D)CNBC,7/24 - 7/26,382 LV,--,48,46,Biden +2
Franklin & MarshallF&M,7/20 - 7/26,667 RV,5.5,50,41,Biden +9
GravisGravis,7/22 - 7/24,1006 LV,3.1,48,45,Biden +3
FOX NewsFOX News,7/18 - 7/20,793 RV,3.5,50,39,Biden +11
Rasmussen ReportsRasmussen,7/15 - 7/16,750 LV,3.5,51,46,Biden +5
CNBC/Change Research (D)CNBC,7/10 - 7/12,743 LV,--,50,42,Biden +8
MonmouthMonmouth,7/9 - 7/13,401 LV,4.9,52,42,Biden +10
Trafalgar Group (R)Trafalgar,6/29 - 7/2,1062 LV,2.9,48,43,Biden +5
CNBC/Change Research (D)CNBC,6/26 - 6/28,760 LV,--,50,44,Biden +6
SusquehannaSusquehanna,6/15 - 6/23,715 LV,3.8,46,41,Biden +5
CNBC/Change Research (D)CNBC,6/12 - 6/14,491 LV,--,49,46,Biden +3
NY Times/SienaNYT/Siena,6/8 - 6/16,651 RV,4.2,50,40,Biden +10
CNBC/Change Research (D)CNBC,5/29 - 5/31,579 LV,--,46,50,Trump +4
Harper (R)Harper (R),4/21 - 4/26,644 LV,3.9,49,43,Biden +6
FOX NewsFOX News,4/18 - 4/21,803 RV,3.5,50,42,Biden +8
SusquehannaSusquehanna,4/14 - 4/20,693 LV,3.7,48,42,Biden +6
Yahoo News/YouGovYouGov,3/6 - 3/8,RV,--,46,40,Biden +6
Morning CallMorning Call,2/12 - 2/20,424 RV,5.5,47,47,Tie
Univ. of Wis/YouGovUW/YouGov,2/11 - 2/20,1249 LV,3.5,46,45,Biden +1
QuinnipiacQuinnipiac,2/12 - 2/18,845 RV,3.4,50,42,Biden +8
Morning CallMorning Call,11/4 - 11/9,410 RV,6.0,52,43,Biden +9
NY Times/SienaNYT/Siena,10/13 - 10/26,661 LV,4.4,46,45,Biden +1
QuinnipiacQuinnipiac,5/9 - 5/14,978 RV,4.2,53,42,Biden +11
EmersonEmerson,3/26 - 3/28,808 RV,3.4,55,45,Biden +10
