Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread
CBS News/YouGovCBS News,7/7 - 7/10,1299 RV,3.5,48,42,Biden +6
Trafalgar Group (R)Trafalgar,6/29 - 7/2,1072 LV,2.9,46,46,Tie
CNBC/Change Research (D)CNBC,6/26 - 6/28,951 LV,--,50,45,Biden +5
FOX NewsFOX News,6/20 - 6/23,1010 RV,3.0,49,40,Biden +9
NY Times/SienaNYT/Siena,6/8 - 6/18,651 RV,4.6,47,41,Biden +6
CNBC/Change Research (D)CNBC,6/12 - 6/14,731 LV,--,50,43,Biden +7
TIPPTIPP,6/9 - 6/12,875 LV,--,51,40,Biden +11
CNBC/Change Research (D)CNBC,5/29 - 5/31,1186 LV,--,48,45,Biden +3
St. Pete PollsSt. Pete Polls,5/26 - 5/27,4763 RV,1.4,48,47,Biden +1
Florida Atlantic UniversityFAU,5/8 - 5/12,928 RV,3.1,53,47,Biden +6
FOX NewsFOX News,4/18 - 4/21,1004 RV,3.0,46,43,Biden +3
QuinnipiacQuinnipiac,4/16 - 4/20,1385 RV,2.6,46,42,Biden +4
St. Pete PollsSt. Pete Polls,4/16 - 4/17,5659 RV,1.3,48,48,Tie
UNFUNF,3/31 - 4/4,3244 RV,1.7,46,40,Biden +6
UnivisionUnivision,3/6 - 3/12,1071 LV,3.0,45,48,Trump +3
Florida Atlantic UniversityFAU,3/5 - 3/7,1216 RV,2.7,49,51,Trump +2
UNFUNF,2/10 - 2/18,725 RV,3.6,49,48,Biden +1
Florida Atlantic UniversityFAU,1/9 - 1/12,1285 RV,2.6,51,49,Biden +2
Mason-DixonMason-Dixon,12/11 - 12/16,625 RV,4.0,47,45,Biden +2
NY Times/SienaNYT/Siena,10/13 - 10/26,650 LV,4.4,46,44,Biden +2
UNFUNF,10/14 - 10/18,644 RV,3.8,48,43,Biden +5
Florida Atlantic UniversityFAU,9/12 - 9/15,934 RV,3.1,49,50,Trump +1
St. Pete PollsSt. Pete Polls,6/15 - 6/16,3095 LV,1.8,47,47,Tie
QuinnipiacQuinnipiac,6/12 - 6/17,1279 RV,3.3,50,41,Biden +9
Florida Atlantic UniversityFAU,5/16 - 5/19,1007 RV,3.0,50,50,Tie
